id,Название,Цена со скидкой,Цена без скидки,Бренд,Ссылка
 133790,"Кофе Verle Decaf в дрип-пакетах 6шт, 66г",,469,JACOBS,https://online.metro-cc.ru/products/6shth11g-kofe-verle-decaf-v-drip-paketah
 226522,"Кофе Jacobs Gold растворимый сублимированный, 95г",,469,MACCOFFEE,https://online.metro-cc.ru/products/jacobs-sublimirovannyj-gold-95g
 226523,"Кофе Verle Africa в дрип-пакетах 6шт, 66г",,439,MACCOFFEE,https://online.metro-cc.ru/products/6shth11g-kofe-verle-africa-v-drip-paketah
 619918,"Кофе Lebo Classic в зернах, 250г",339,459,NESCAFE,https://online.metro-cc.ru/products/250g-kofe-lebo-classic-v-zernah
 112991,"Кофе Tchibo Gold selection молотый, 250г",,369,CARRARO,https://online.metro-cc.ru/products/250g-kofe-tchibo-gold-selection-molotyy
 218714,"Кофе Jacobs Barista Editions Crema молотый, 230г",,459,POETTI,https://online.metro-cc.ru/products/230g-kofe-jacobs-barista-editions-crema-molotyy
 228243,"Кофе Tchibo Gold selection растворимый, 95г",,389,ЖОКЕЙ,https://online.metro-cc.ru/products/95g-kofe-tchibo-gold-selection-rastvorimyy-stb
 125675,"Кофе Jacobs Millicano молотый в растворимом, 90г",,389,LEBO CLASSIC,https://online.metro-cc.ru/products/90g-jacobs-millicano-molotyj
 226334,"Кофе в капсулах Carraro Dolci arabica для кофемашин Nespresso 10шт, 55г",369,439,CARTE NOIRE,https://online.metro-cc.ru/products/10shtx55g-kofe-carraro-v-alyum-kapsulah-dolci-arabica
 95644,"Кофе Lebo Classic молотый для турки, 100г",119,144,JACOBS,https://online.metro-cc.ru/products/100g-lebo-classic-dlya-turki
 122026,"Кофе Lebo Принц Лебо молотый для турки, 100г",119,129,JACOBS,https://online.metro-cc.ru/products/100g-kofe-lebo-prints-lebo-molotyy-dturki
 228240,"Кофе Жокей Imperial растворимый, 75г",169,199,ЖОКЕЙ,https://online.metro-cc.ru/products/75g-kofe-zhokey-imper-rastvorimyy
 228436,"Кофе Poetti Leggenda Original в зернах, 1кг",,2 179,VERLE,https://online.metro-cc.ru/products/1kg-kofe-poetti-leggenda-original-v-zernah
 218856,"Кофе Carte Noire Intense Absolu в зернах, 800г",1 299,1 549,CARTE NOIRE,https://online.metro-cc.ru/products/800g-kofe-carte-noire-intense-absolu-zernovoy
