id,Название,Цена со скидкой/Полная цена если скидки нет,Цена без скидки/Пусто если скидки нет,Бренд,Ссылка
 8415,"Кофе Origo Kaffee Klassik Barista Espresso в зернах, 1кг",2 319,,NESCAFE,https://online.metro-cc.ru/products/v-zernah-origo-klassik-kaffee-barista-espresso-1-kg
 59569,"Кофе Julius Meinl Trend Collection Espresso Classico в зернах, 1кг",2 319,,ILLY,https://online.metro-cc.ru/products/julius-meinl-espresso-trend-1kg
 629008,"Кофе Carte Noire Privilege сублимированный, 95г",449,509,KIMBO,https://online.metro-cc.ru/products/carte-noire-privilege-sublimirovannyj-95-g
 59003,"Кофе Egoiste Noir растворимый, 70г",299,309,BUSHIDO,https://online.metro-cc.ru/products/egoiste-noir-70g
 654818,"RIOBA Кофе в капсулах Armonioso для кофемашин Nespresso 11шт, 55г",299,,JULIUS MEINL,https://online.metro-cc.ru/products/rioba-dlya-kofemashin-armonioso-10x5g
 133439,"Кофе Egoiste Special растворимый сублимированный с молотым, 100г",799,999,RIOBA,https://online.metro-cc.ru/products/egoiste-sublimirovannnyj-s-molotym-special-100g
 119139,"Кофе Bushido Black Katana растворимый, 100г",849,909,JARDIN,https://online.metro-cc.ru/products/bushido-sublimirovannyj-black-katana-100g
 365548,"Кофе в капсулах Lebo Espresso Crema для кофемашин Nespresso 40 шт, 220г",1 299,,ALTA ROMA,https://online.metro-cc.ru/products/40shth55g-kofe-lebo-espresso-crema-banka
 132207,"Кофе в капсулах Tassimo Jacobs Cappuccino для кофемашин Tassimo 16шт (8 эспрессо 8 молочных), 260г",489,579,JACOBS,https://online.metro-cc.ru/products/tassimo-cappuccino-classico-8-8sht
 654489,"Кофе в капсулах L’or Espresso Delizioso для кофемашин Nespresso 10шт, 52г",529,,ORIGO,https://online.metro-cc.ru/products/lor-espresso-delizioso-52-g
 124058,"Кофе в капсулах Julius Meinl Ristretto Intenso Bio для кофемашин Nespresso 10шт, 56г",619,,NESCAFE,https://online.metro-cc.ru/products/julius-meinl-ristretto-kapuchino-v-biorazlive-56g-10
 227972,"Кофе в капсулах Absolut Drive Latte Macchiato with caramel для кофемашин Dolce Gusto 16шт, 168г",359,429,FRESCO,https://online.metro-cc.ru/products/8shth6g8shth15g-kofe-absolut-latte-karamel-kapsuly-dg
 77948,"Кофе Nescafe Classic растворимый, 320г",439,469,JULIUS MEINL,https://online.metro-cc.ru/products/320g-nescafe-classic-paket
 376494,"aro Кофе натуральный жареный молотый, 500г",409,,KIMBO,https://online.metro-cc.ru/products/500g-kofe-aro-molotyy
 219223,"Кофе Jacobs Barista Editions Italiano в зернах, 800г",1 199,1 439,COFERIUM,https://online.metro-cc.ru/products/800g-kofe-jacobs-barista-editions-italiano-zernovoy
 119132,"Кофе Fresco Arabica Solo растворимый, 100г",249,297,ЖОКЕЙ,https://online.metro-cc.ru/products/fresco-arabika-100g
 494570,"Кофе в капсулах Tassimo Jacobs Americano Classico для кофемашин Tassimo 16шт, 132г",489,579,JARDIN,https://online.metro-cc.ru/products/americano-classico-tassimo-jacobs-16-sht
 44438,"Кофе Lavazza Qualita Oro молотый, 250г",739,,ORIGO,https://online.metro-cc.ru/products/lavazza-naturalnyj-zharenyj-oro-250g-43053
 230302,"Кофе Jardin Kenya Kilimanjaro растворимый, 95г",219,297,MONARCH,https://online.metro-cc.ru/products/jardin-kenya-kilimanjaro-95-g
