id,Название,Цена со скидкой,Цена без скидки,Бренд,Ссылка
 133724,"Кофе Ambassador Blue Label в зернах, 1кг",1 399,1 699,NESCAFE,https://online.metro-cc.ru/products/ambassador-blue-label-zernovoj-1000-g
 624869,"Кофе Черная Карта в зернах, 1кг",919,1 149,ORIGO,https://online.metro-cc.ru/products/chernaya-karta-paketirovannyj-1kg
 119139,"Кофе Московская кофейня на паяхъ Арабика растворимый сублимированный, 95г",359,559,JARDIN,https://online.metro-cc.ru/products/moskovskaya-kofejnya-na-payah-sublimirovannyj-arabika-95g
 609222,"Кофе Monarch Original растворимый, 190г",,579,RIOBA,https://online.metro-cc.ru/products/190g-kofe-monarch-original-rastvorimyy-st
 388183,"Напиток кофейный Nescafe Mild 3в1 20 пакетиков, 290г",259,319,DALLMAYR,https://online.metro-cc.ru/products/20x145g-kofejnyj-napitok-nescafe-3v1-myagkij
 44438,"Кофе Egoiste Espresso в зернах, 1кг",,2 469,ORIGO,https://online.metro-cc.ru/products/egoiste-espresso-1000g
 125676,"Кофе Jardin Guatemala Atitlan натуральный растворимый, 95г",219,297,LEBO CLASSIC,https://online.metro-cc.ru/products/jardin-guatemala-atitlan-naturalnyj-95-g
 72873,"Набор кофе в капсулах Coffesso для кофемашин Nespresso ассорти 50шт, 250г",1 199,1 329,EGOISTE,https://online.metro-cc.ru/products/coffesso-nabor-v-kapsulah-50-sht-h-5-g
 632162,"Кофе Dallmayr Crema d'Oro натуральный жареный в зернах, 1кг",,2 199,ARO,https://online.metro-cc.ru/products/dallmayr-v-zernah-naturalnyj-zharenyj-crema-d-039oro-1kg
 72533,"Кофе Jacobs Barista Crema в зернах, 800г",1 199,1 439,COFFESSO,https://online.metro-cc.ru/products/kofe-jacobs-barista-crema-zernovoy-800g
 104610,"Кофе Московская кофейня на паяхъ Суаре растворимый сублимированный, 95г",279,409,JULIUS MEINL,https://online.metro-cc.ru/products/moskovskaya-kofejnya-na-payah-sublimirovannyj-suare-95g
 637206,"Кофе Egoiste Truffle молотый, 250г",449,659,L'OR,https://online.metro-cc.ru/products/250g-kofe-egoiste-truffle-molotyy
 36574,"Кофе Julius Meinl Президент классическая коллекция в зернах, 1кг",,2 029,BUSHIDO,https://online.metro-cc.ru/products/julius-meinl-prezident-1000g
 224737,"Кофе в капсулах Jardin Vanillia Rich&Sweet для кофемашин Nespresso 10шт, 50г",279,409,MONARCH,https://online.metro-cc.ru/products/10h5g-jardin-vanillia
 133789,"Кофе MacCoffee Capuccino Di torino растворимый (25.5г x 20шт), 510г",399,489,JACOBS,https://online.metro-cc.ru/products/20shtx255g-kofe-maccoffee-cappuccino-di-torino-rastv
 219222,"Кофе Jardin Americano Crema в зернах, 1кг",1 399,1 599,COFERIUM,https://online.metro-cc.ru/products/jardin-americano-crema-1000-g
 459852,"Кофе Julius Meinl Эспрессо в зернах, 500г",,1 549,ЖОКЕЙ,https://online.metro-cc.ru/products/julius-meinl-v-zernah-naturalnyj-zharenyj-president-grande-espresso-500g
 224846,"Кофе в капсулах Jardin Andante Strong&Velvet для кофемашин Nespresso 10шт, 50г",279,409,MACCOFFEE,https://online.metro-cc.ru/products/10h5g-jardin-andante
 133726,"Кофе Monarch Milligrano растворимый с молотым, 200г",449,509,NESCAFE,https://online.metro-cc.ru/products/kofe-monarch-milligrano-rastvorimyy-s-molotym-200g
 599512,"aro Кофе 3в1 классик (100 пакетиков x 16г), 1.6кг",,759,AMBASSADOR,https://online.metro-cc.ru/products/aro-3v1-klassik-100h16g
 654819,"Кофе Jardin Colombia Medellin натуральный растворимый сублимированный, 95г",219,297,JULIUS MEINL,https://online.metro-cc.ru/products/jardin-naturalnyj-sublimirovannyj-colombia-medellin-95g
 132207,"Кофе Egoiste Noir растворимый сублимированный, 100г",469,669,JACOBS,https://online.metro-cc.ru/products/egoiste-sublimirovannyj-noir-100g
 226399,"Кофе Fresco Arabica Doppio молотый в растворимом, 100г",249,297,МОСКОВСКАЯ КОФЕЙНЯ НА ПАЯХЪ,https://online.metro-cc.ru/products/fresco-naturalnyj-s-dobavleniem-naturalnogo-zharenogo-molotogo-arabica-doppio-100g
 43053,"Кофе Carraro Primo Mattino в зернах, 1кг",,1 669,LAVAZZA,https://online.metro-cc.ru/products/v-zernah-carraro-primo-mattino-1-kg
 32457,"Кофе Monarch Original растворимый, 270г",899,1 199,LAVAZZA,https://online.metro-cc.ru/products/kofe-monarch-original-rastvorimyy-270g
 586897,"Кофе Dallmayr Crema Prodomo в зернах, 1кг",,2 229,LAVAZZA,https://online.metro-cc.ru/products/dallmayr-crema-prodomo-v-zernah-1000-g
 223118,"Кофе Lavazza Espresso Italiano Classico молотый, 250г",,649,ABSOLUT,https://online.metro-cc.ru/products/lavazza-naturalnyj-zharenyj-espresso-250g
 133725,"Кофе Carte Noire Instinct растворимый, 95г",449,519,NESCAFE,https://online.metro-cc.ru/products/art_260443
 208701,"RIOBA Кофе Espresso Decaffeeinated в зернах без кофеина, 500г",,879,LAVAZZA,https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-espresso-decaffeeinated-500g
 228781,"Кофе Poetti Daily Classic Crema в зернах, 1кг",,1 599,FRESCO,https://online.metro-cc.ru/products/1kg-kofe-poetti-daily-classic-crema-v-zernah
 219193,"Кофе Lebo Classic молотый для турки, 200г",219,262,COFERIUM,https://online.metro-cc.ru/products/200g-lebo-classic-dlya-turki
 107074,"Кофе Egoiste гранд крю в зернах, 1кг",,2 299,CARRARO,https://online.metro-cc.ru/products/kofe-v-zernah-egoiste-grand-kryu-1kg
