id,Название,Цена со скидкой,Цена без скидки,Бренд,Ссылка
 88215,"Кофе Jardin Guatemala Atitlan растворимый, 150г",499,,JULIUS MEINL,https://online.metro-cc.ru/products/jardin-guatemala-atitlan-150g
 229159,"Кофе Lebo Принц Лебо молотый для турки, 100г",129,,TCHIBO,https://online.metro-cc.ru/products/100g-kofe-lebo-prints-lebo-molotyy-dturki
 223096,"Кофе Nescafe Classic растворимый, 190г",289,297,ABSOLUT,https://online.metro-cc.ru/products/nescafe-classic-paket-190g
 59005,"Кофе Bushido Red Katana в зернах, 227г",579,,BUSHIDO,https://online.metro-cc.ru/products/art_59005
 59000,"Кофе в капсулах Verle Classic Mousse для кофемашин Nespresso 10шт, 55г",369,,EGOISTE,https://online.metro-cc.ru/products/kofe-verle-classic-mousse-v-kapsulah-55g-x-10sht-55g
 226334,"Кофе Dallmayr Prodomo жареный в зернах, 500г",1 149,,CARTE NOIRE,https://online.metro-cc.ru/products/dallmayr-v-zernah-naturalnyj-zharenyj-prodomo-500g
 229730,"Кофе в капсулах L’or Espresso Lungo Profondo для кофемашин Nespresso 10шт, 52г",529,,MONARCH,https://online.metro-cc.ru/products/l-rsquoor-lungo-profondo-52-g
 227974,"Напиток кофейный MacCoffee 3в1 со сгущенным молоком порционный (20г x 10шт), 200г",141,,FRESCO,https://online.metro-cc.ru/products/10shth20g-kofe-maccoffee-3v1-sguschennoe-moloko-portsionnyy
 224712,"Кофе Жокей классический молотый натуральный жареный, 250г",349,,MONARCH,https://online.metro-cc.ru/products/zhokej-naturalnyj-zharenyj-klassicheskij-250g
 230300,"Кофе Monarch Velour растворимый, 95г",489,,MONARCH,https://online.metro-cc.ru/products/kofe-monarch-velour-rastvorimyy-95g
 232417,"Напиток кофейный MacCoffee Capuccino Dolce Vita порционный (24г x 20шт), 480г",309,,JARDIN,https://online.metro-cc.ru/products/20shth24g-kofe-maccoffee-cappuccino-dolce-vita-portsionnyy
 122025,"Кофе Jardin Americano Crema натуральный жареный молотый, 250г",459,,JACOBS,https://online.metro-cc.ru/products/jardin-almericano-crema-naturalnyj-zharenyj-250g
 70176,"Кофе Julius Meinl Король Хадрамаут в зернах, 250г",899,969,NESCAFE,https://online.metro-cc.ru/products/julius-meinl-korol-hadramut-250g
 226338,"Кофе Jardin Gold растворимый, 190г",759,,CARTE NOIRE,https://online.metro-cc.ru/products/190g-kofe-jardin-gold-rastvorimyy-stb
 215682,"Кофе Egoiste Velvet растворимый, 95г",899,1 129,JARDIN,https://online.metro-cc.ru/products/egoiste-velvet-95g
 226339,"Кофе Bushido Kodo растворимый, 95г",899,,LEBO,https://online.metro-cc.ru/products/bushido-v-kristallah-kodo-95g
 226348,"Кофе Jacobs Millicano молотый в растворимом, 90г",469,,CARTE NOIRE,https://online.metro-cc.ru/products/90g-jacobs-millicano-molotyj
 75973,"Кофе Fresco Arabica Blend в зернах, 200г",214,,BUSHIDO,https://online.metro-cc.ru/products/200g-kofe-fresco-arabica-blend-zerno
 231666,"Кофе Jardin Guatemala Atitlan растворимый, 190г",849,,MONARCH,https://online.metro-cc.ru/products/190g-kofe-jardin-guatemala-atitlan-rastvorimyy-stb
 226333,"Кофе Monarch Milligrano растворимый с добавлением молотого, 120г",559,,CARTE NOIRE,https://online.metro-cc.ru/products/120g-kofe-monarch-miligrano-rastv-c-dob-molotogo
 224739,"Кофе Жокей триумф растворимый (2г x 100шт), 200г",709,,MONARCH,https://online.metro-cc.ru/products/100shth2g-kofe-zhokey-triumf-rastvorimyy
 232419,"Кофе в капсулах Carte Noire Colombia Origin для кофемашин Nespresso 10шт, 52г",689,,JARDIN,https://online.metro-cc.ru/products/10shth52g-kofe-carte-noire-colombia-origin-v-kapsulah
 232413,"Кофе в капсулах Carte Noire Riche Espresso для кофемашин Nespresso 10шт, 52г",689,,ЖОКЕЙ,https://online.metro-cc.ru/products/10shth52g-kofe-carte-noire-riche-espresso-v-kapsulah
 228231,"Кофе Bushido Specialty в зернах, 227г",709,,PIAZZA DEL CAFFE,https://online.metro-cc.ru/products/bushido-specialty-227g-75962
 228235,"Кофе в капсулах Carte Noire Lungo Profond для кофемашин Nespresso 10шт, 52г",689,,JARDIN,https://online.metro-cc.ru/products/10shth52g-kofe-carte-noire-lungo-profond-v-kapsulah
 75962,"Кофе в капсулах Carraro Ristretto для кофемашин Nespresso 10шт, 55г",369,399,BUSHIDO,https://online.metro-cc.ru/products/10shtx55g-kofe-carraro-v-alyum-kapsulah-ristretto
 426443,"Кофе Jardin Columbia Supremo молотый, 250г",479,,CARTE NOIRE,https://online.metro-cc.ru/products/250g-jardin-kolumbiya-supremo-mol
 224738,"Кофе Lebo Classic Original жареный в зернах, 100г",119,154,MONARCH,https://online.metro-cc.ru/products/100g-kofe-lebo-original-zharenyy-v-zernah
